name,allegiance,government,primaryEconomy,secondaryEconomy,security,population,controllingFaction.name
Deneb Okab,Independent,Confederacy,Refinery,Military,Low,170814,The Black Widow Corps
Tyr,Federation,Democracy,Industrial,Refinery,High,8803862,Tyr's Justice
25 Nu-2 Draconis,Independent,Dictatorship,Industrial,Refinery,Medium,3353961,25 Nu-2 Draconis Bureau
Ross 750,Independent,Dictatorship,Industrial,Refinery,Medium,9007448,Wolves of Jonai
HIP 76256,Independent,Communism,Colony,Terraforming,Low,214425,Laklano Worker's Party
HIP 82460,Independent,Communism,Colony,Industrial,Low,48897,Revolutionary Mingin Left Party
HR 325,Independent,Cooperative,Industrial,Extraction,Medium,36855900,Artemis Bow
HIP 10365,Empire,Dictatorship,Extraction,Agriculture,Medium,176328,Allied HIP 10365 Defence Party
HIP 116352,Empire,Dictatorship,Refinery,Extraction,Medium,586072,Allied HIP 115505 Law Party
Eta Indi,Independent,Cooperative,Industrial,Refinery,High,40462951,Omega Cooperative
HIP 23100,Independent,Communism,Extraction,Military,Medium,156999,Nagii Union
Upsilon Andromedae,Independent,Democracy,Industrial,Refinery,High,42215827,C.O.N.T.R.A.I.L
i Bootis,Independent,Corporate,Agriculture,Extraction,Medium,2306559,New Pilots Initiative
Mjolnir,Independent,Dictatorship,High Tech,Refinery,Medium,25679,New Mjolnir Autocracy
LTT 13125,Alliance,Corporate,Agriculture,Refinery,High,10896089486,Perez Ring Brewery
BD+15 3090,Independent,Democracy,Terraforming,Industrial,Medium,3620053,Light of Humanity
HIP 57349,Alliance,Patronage,Terraforming,Industrial,Medium,23909120,HIP 57349 Pro-Alliance Party
Gliese 9090,Empire,Patronage,Extraction,High Tech,Low,43791,HIP 11241 Patrons of Law
HIP 16365,Empire,Corporate,Agriculture,Tourism,Medium,3087979450,House of Saga
HIP 7211,Empire,Patronage,Extraction,Colony,Medium,788783,Peraesii Empire Consulate
HR 8769,Empire,Corporate,Refinery,None,Low,69798,Okua'gsa Bridge Group
HIP 104163,Independent,Feudal,Industrial,Extraction,Low,37977,The Kuun-Lan
LTT 2262,Empire,Patronage,Extraction,High Tech,Low,3075,The 9th Legion
Fjorgyn,Independent,Dictatorship,Refinery,Extraction,Medium,321265,Natural Fjorgyn Liberty Party
Alpha Octantis,Empire,Patronage,Extraction,Refinery,Medium,182938,1st Galactic Line of Defence
HIP 93745,Independent,Communism,Colony,Extraction,Medium,88332,Egovi Union
Mannboo,Federation,Democracy,Agriculture,Terraforming,Medium,2034308296,Mannboo Progressive Party
HIP 45870,Independent,Corporate,Military,Terraforming,Low,160345,The Armory Coalition
HIP 53923,Independent,Corporate,Industrial,Refinery,High,16972535,Expanders Corp
HIP 13514,Empire,Corporate,Refinery,Extraction,Medium,115230,Kuwemaki Systems
HIP 21431,Empire,Patronage,Extraction,Military,Medium,149706,Hakurei Stargaze Musketeers
CD-62 136,Empire,Patronage,Industrial,Extraction,High,64620619,Lavigny's Legion
HIP 39242,Empire,Dictatorship,Industrial,Extraction,High,10877425,HIP 39242 Dominion
HIP 73293,Independent,Theocracy,Extraction,Industrial,Medium,4837449,Wulf Wing Corp
HIP 42214,Independent,Feudal,Extraction,Military,Low,53017,Ryders of the Void
HIP 53685,Independent,Corporate,Military,Colony,Medium,97321016,Terrahawk Defense Directorate
HR 5000,Empire,Corporate,Refinery,Extraction,Medium,87233,Marrenses Services
13 Lambda Crateris,Independent,Theocracy,Industrial,Refinery,High,12555099,Independent Pilot's Guild
HIP 64006,Independent,Corporate,Extraction,Refinery,Low,66541,Wader Corp.
HIP 109182,Independent,Corporate,Refinery,None,Low,5095,Awithamu Major Group
HIP 3326,Independent,Corporate,Refinery,Refinery,Low,4050,Cortex Interstellar Group
10 Arietis,Independent,Communism,Refinery,Extraction,Low,576819,Union of Italian Commanders
HIP 6975,Independent,Dictatorship,Extraction,Extraction,Low,285243,Alba Rotam Private Military Contractor
Rotanev,Independent,Cooperative,High Tech,Refinery,High,9565728,Open Pilot's Initiative
114 G. Aquilae,Independent,Dictatorship,Agriculture,Extraction,Medium,342122734,Tolians League
HIP 23869,Federation,Corporate,High Tech,Tourism,Medium,88125,HIP 24720 Systems
HIP 105906,Independent,Democracy,Military,Extraction,Medium,70687,Interplanetary Explorations
HIP 89207,Independent,Corporate,Colony,None,Low,67373,Aucharnie Company
39 Herculis,Alliance,Corporate,Agriculture,Terraforming,Medium,356905,Sap Core Legion
Sigma-2 Gruis,Independent,Cooperative,Extraction,Military,Low,77835,The Winged Hussars
HIP 110440,Empire,Patronage,Terraforming,Extraction,Medium,270121,HIP 110440 Patron's Principles
HIP 20237,Independent,Democracy,Agriculture,Agriculture,Medium,873348110,Cobra Wing
HR 784,Federation,Democracy,Agriculture,Extraction,High,3088823669,Dark Horse Transport
9 Ceti,Independent,Dictatorship,High Tech,Refinery,Medium,14603549,Black Birds Consilium
BD-17 6081,Empire,Corporate,Industrial,Refinery,High,60032414,Asvinnut PLC
HIP 23395,Federation,Corporate,Agriculture,Industrial,High,1288157986,Sirius Special Forces
45 c Bootis,Independent,Corporate,High Tech,Refinery,Medium,18325851,New Pilots Initiative
Sinann,Independent,Democracy,Extraction,Military,Low,43564,Pixel Bandits Security Force
70 Virginis,Alliance,Confederacy,Agriculture,Industrial,High,2555551591,Terran Colonial Forces
HIP 12424,Independent,Corporate,Military,Extraction,Medium,180439,HIP 12424 Transport Incorporated
HIP 16607,Independent,Cooperative,High Tech,Refinery,High,20554767,Red Dice Systems
HIP 114040,Independent,Cooperative,Agriculture,Colony,Medium,9302402109,The Winged Hussars
AF Leporis,Empire,Patronage,Colony,Extraction,Low,98316,Brazilian Imperial Society of Pilots
Tau-1 Gruis,Empire,Patronage,Extraction,Industrial,Medium,5377803,First Imperial Fleet
Balmung,Empire,Feudal,Agriculture,Refinery,High,3022700783,Praetorian Curiate Assembly
HIP 32644,Independent,Anarchy,Colony,Military,Anarchy,114546,Explorers of the Anarchy
Veroa,Independent,Democracy,Industrial,Extraction,Medium,181547,Green Party of Veroa
HR 4979,Independent,Democracy,Extraction,Refinery,Medium,229904,The Dark Wheel
Syrma,Alliance,Confederacy,Industrial,High Tech,Low,1875327,Five Points Syndicate
HIP 72600,Federation,Corporate,Industrial,Refinery,High,6113981,Mould Federal Mining Incorporated
HIP 17984,Independent,Corporate,Military,Extraction,Medium,275264,HIP 17984 Gold Universal Inc
HIP 13975,Independent,Feudal,Extraction,Agriculture,Low,52139,Lords of the Old Dominion
HIP 21438,Empire,Patronage,Industrial,Extraction,Medium,26469108,Hakurei Stargaze Musketeers
HIP 110248,Independent,Confederacy,Extraction,Industrial,Medium,445791,The Soteria Accord
HIP 102259,Empire,Patronage,Industrial,Extraction,Medium,12661638,HIP 102259 Citizens of Tradition
HIP 39391,Empire,Patronage,Industrial,Refinery,High,7450632,HIP 39391 Citizens' Forum
HIP 73408,Independent,Dictatorship,Industrial,Extraction,Medium,12060326,HIP 73408 Front
Giryamba,Independent,Democracy,Extraction,Agriculture,Medium,105669,Labour of Giryamba
HIP 64957,Independent,Patronage,Extraction,None,Low,3991,HIP 64957 Pro-Independent Bond
HIP 55666,Independent,Dictatorship,Military,Colony,Medium,384785,New HIP 55666 Regulatory State
HR 6767,Independent,Democracy,Industrial,Extraction,Medium,10156830,Fatal Shadows
HIP 10079,Independent,Theocracy,Colony,Terraforming,Medium,235447,House of the Rising CERN
HIP 7037,Independent,Cooperative,Colony,Extraction,Low,5322,HIP 7221 as one
7 Kappa Delphini,Independent,Democracy,Extraction,Refinery,Low,43242,German Pilot Lounge
HIP 99971,Independent,Dictatorship,Colony,Extraction,Low,83981,The Mercs of Mikunn
HIP 24658,Independent,Feudal,Extraction,Agriculture,Low,93288,Marquis du Ma'a
BD+63 1764,Independent,Feudal,Agriculture,Refinery,High,7050601181,Lords of Potiguara
HIP 45794,Independent,Cooperative,Extraction,Agriculture,Low,36877,Quercus Collective
HIP 116125,Empire,Patronage,Industrial,Extraction,High,4207749,Likedeeler of Michel
HIP 117258,Federation,Democracy,Extraction,High Tech,Low,85793,Guardians of Ancient Terrene
HIP 110512,Independent,Patronage,Terraforming,Extraction,Low,189650,HIP 110512 Pro-Independent Pact
HR 783,Independent,Corporate,Agriculture,Industrial,High,1695933163,Ukrainian Pilots Federation
HR 108,Independent,Dictatorship,Agriculture,Industrial,High,1551123224,Black Birds Consilium
HIP 102664,Federation,Confederacy,Extraction,None,Low,12852,United Ndeber Coalition
BD+66 193,Federation,Corporate,Refinery,Extraction,Medium,335214,HIP 4907 Commodities
Mamitu,Federation,Democracy,Refinery,Extraction,Low,142265,United Wolf 587 for Equality
STF 1774,Alliance,Corporate,Agriculture,Refinery,High,6712755165,Perez Ring Brewery
HR 4574,Independent,Theocracy,Terraforming,Colony,Low,187770,Societas Acrana Imperii
HIP 67921,Independent,Theocracy,Colony,Agriculture,Medium,83147,Wild Priest Corps
HIP 73128,Independent,Prison Colony,Extraction,Agriculture,Low,41467,HIP 73128 Prison Colony
HIP 12425,Empire,Dictatorship,Colony,Extraction,Medium,155161,Natural HIP 12167 Defence Party
HIP 6418,Independent,Dictatorship,Extraction,Military,Medium,200735,Kaleni Order
HIP 117831,Empire,Prison Colony,Extraction,Military,Medium,8225024,Moritasgus Imperial Corporation
HIP 17478,Independent,Cooperative,High Tech,Extraction,Low,25937,Red Dice Systems
HIP 114236,Empire,Feudal,Extraction,Industrial,Medium,144378,Council of Lords
HIP 104292,Independent,Feudal,Industrial,Extraction,Medium,34708706,The Kuun-Lan
HIP 25860,Independent,Feudal,Extraction,Refinery,Low,47560,Sieni Mafia
LTT 2277,Empire,Patronage,Colony,Extraction,Medium,169780,CD-31 2366 Empire Group
Rho Indi,Independent,Dictatorship,Extraction,None,Low,1828,Yimanbin Nationalists
CD-76 1091,Empire,Feudal,Extraction,None,Low,2051,13th Legion
HIP 94235,Independent,Communism,Colony,Extraction,Medium,140361,Egovi Union
Ross 609,Federation,Corporate,Extraction,High Tech,Low,84751,Ross 609 Galactic Network
Neritus,Federation,Corporate,Military,Agriculture,Medium,834069,Federal Liberal Command
Hodack,Independent,Cooperative,Colony,Extraction,Low,8002,Hodack One
HIP 53737,Independent,Corporate,Refinery,None,Low,2793,Expanders Corp
LTT 3712,Federation,Corporate,Extraction,None,Low,25681,Olympus Trading Corp
HIP 72677,Independent,Communism,Colony,Military,Medium,390736,The Marxist-Leninist Astrology Commission
HIP 62904,Independent,Patronage,Refinery,Extraction,Medium,139757,Fathers Of The Void
HIP 18420,Independent,Corporate,Extraction,Refinery,Low,46980,Broadcast Cobra
HIP 118228,Empire,Corporate,Colony,Extraction,Medium,26744,House Chanter Corporation
HIP 16460,Empire,Patronage,Refinery,Extraction,Medium,260691,HIP 16460 Empire Consulate
HIP 110852,Independent,Dictatorship,Extraction,None,Low,5504,Party of Yoru
HIP 102406,Empire,Corporate,Terraforming,Extraction,Medium,219603,Gandillava Bridge Limited
HIP 32662,Independent,Cooperative,Refinery,Extraction,Low,99127,Unified HIP 32662
Acokwus,Independent,Anarchy,Military,Tourism,Anarchy,87457,Explorers of the Anarchy
HIP 65036,Empire,Patronage,Extraction,Agriculture,Medium,17962,Imperial Enforcement Division
HIP 50515,Independent,Dictatorship,Colony,Refinery,Low,99724,Dominion Emeritus
HIP 27855,Empire,Patronage,Refinery,Terraforming,Medium,218995,The Hidden Guild
Grid,Independent,Corporate,Extraction,None,Low,15016,Grid Jet State Holdings
Lalande 34968,Independent,Cooperative,Terraforming,Colony,Low,177191,Anaconda Bridge Club
15 Delphini,Independent,Cooperative,Refinery,Extraction,Low,28002,Open Pilot's Initiative
HIP 100235,Independent,Feudal,Extraction,Agriculture,Medium,65164,Barons of Rianik
HIP 97537,Independent,Communism,Industrial,Military,Low,33559085,Warnsaxa Citizen Party
HIP 89806,Independent,Democracy,Extraction,Industrial,Medium,85017,Fatal Shadows
HIP 77838,Independent,Confederacy,High Tech,Extraction,Medium,37989,The L.O.S.P.
HIP 19147,Independent,Corporate,Colony,Extraction,Medium,87296,Hellraiser Inc.
HIP 11218,Independent,Anarchy,Industrial,Extraction,Anarchy,2306082,Raiders of Helveti
HIP 117391,Independent,Theocracy,Industrial,Military,High,5443171,Circle of TabEwon
HR 8563,Empire,Patronage,Refinery,Extraction,Medium,287930,Loren's Legion
Dinda,Independent,Corporate,Industrial,Colony,Medium,1530621,Pikum Public Group
Eta Coronae Borealis,Alliance,Confederacy,Agriculture,Colony,Medium,12411625073,Terran Colonial Forces
HR 6836,Independent,Corporate,Agriculture,Refinery,High,1716355303,HR 6836 Bridge Exchange
HIP 85141,Independent,Communism,Industrial,Military,Medium,3612323,Citizen Party of Chireni
SPOCS 495,Independent,Corporate,Extraction,Refinery,Medium,56456,Dark Echo
HIP 68158,Federation,Democracy,Refinery,Extraction,Low,145306,Workers of HIP 67882 Democrats
HIP 72221,Alliance,Corporate,Industrial,Refinery,High,12151000,Razorback Astronautics
HIP 80608,Federation,Corporate,Agriculture,Extraction,Low,74090,ARAX Arms Inc.
HIP 6422,Independent,Dictatorship,Terraforming,Military,Medium,265863,Kaleni Order
HIP 117903,Empire,Prison Colony,Extraction,Agriculture,Low,34632,Moritasgus Imperial Corporation
HIP 17108,Empire,Patronage,Extraction,Agriculture,Medium,338093,HIP 17108 Imperial Society
Facece,Empire,Patronage,Military,Extraction,High,10880630357,Facece Empire Party
HIP 114367,Empire,Patronage,Extraction,Colony,Medium,256657,HIP 114367 Patron's Principles
Nu-1 Columbae,Empire,Patronage,Tourism,Agriculture,Medium,2736775040,CD-31 2366 Empire Group
HR 8829,Empire,Patronage,Extraction,Military,Medium,163583,First Imperial Fleet
HIP 106213,Independent,Dictatorship,Agriculture,Industrial,High,8357098678,The Sovereign Justice Collective
HIP 94417,Empire,Patronage,Extraction,Refinery,Medium,53026,HIP 95532 Empire Consulate
1 i Centauri,Federation,Corporate,Agriculture,Terraforming,Medium,3462472767,Terra-EX Astro Corp
HIP 78716,Independent,Corporate,Extraction,Refinery,Medium,18961,Crimson Advanced Solutions
HIP 82515,Independent,Corporate,Terraforming,Agriculture,Low,140605,Silver Natural Co
HIP 55118,Independent,Corporate,Industrial,Agriculture,High,569960361,Dark Echo
LHS 6187,Independent,Democracy,Industrial,Military,Medium,3279505,LHS 6187 Future
HIP 14106,Empire,Patronage,Terraforming,Extraction,Medium,258229,Susano Patron's Principles
HIP 21632,Empire,Patronage,Industrial,Extraction,Medium,6447358,United Imperial Loyalists
HIP 16540,Empire,Patronage,Refinery,Military,High,355350,The 10th Legion
HIP 111153,Empire,Corporate,Industrial,Extraction,Medium,8717861,Aisling's Imperial Gladiators
HIP 102725,Empire,Corporate,Extraction,Colony,Low,111250,HIP 102725 Comms Incorporated
HIP 42532,Empire,Patronage,Industrial,Extraction,Medium,10317432,Mukur Patron's Principles
HR 5491,Independent,Communism,Terraforming,Refinery,Medium,244605,Citizen Party of HR 5491
HIP 42408,Federation,Corporate,Extraction,None,Low,5340,Federal Galactic Systems
HIP 54984,Independent,Corporate,Military,None,Low,126705,Pisat Electronics & Co
HIP 50534,Independent,Theocracy,Industrial,Extraction,Medium,5914708,Independent Pilot's Guild
HIP 56278,Independent,Confederacy,Industrial,Refinery,High,5463778,Order of Copernicus
HIP 29439,Independent,Theocracy,Agriculture,Extraction,Low,26971,Sacra Oculus
Pleiades Sector HR-W d1-41,Independent,Cooperative,Refinery,Agriculture,Medium,1204754,Operation Ida
HIP 7221,Independent,Cooperative,Extraction,Military,Low,97369,Utopia Spaceways
5 Gamma Equulei,Independent,Cooperative,Refinery,None,Low,19785,Open Pilot's Initiative
HIP 100895,Independent,Confederacy,Terraforming,Industrial,Low,25894851,Black Widow
HIP 109479,Independent,Democracy,Industrial,Extraction,Medium,14245828,Interplanetary Explorations
HIP 90954,Federation,Corporate,Extraction,High Tech,Low,61420,HIP 90954 Galactic & Co
17 Kappa-1 Bootis,Independent,Democracy,Industrial,Extraction,Medium,8264847,17 Kappa-1 Bootis Liberals
HIP 82060,Independent,Anarchy,Refinery,None,Anarchy,1620,Ipilars Jet Drug Empire
HIP 11360,Independent,Cooperative,Terraforming,Extraction,Medium,133487,Cooper Industries
CD-28 18361,Independent,Dictatorship,Industrial,Extraction,Medium,15511444,Black Birds Consilium
Rod,Independent,Dictatorship,Refinery,Military,Medium,98189,Black Birds Consilium
HIP 102869,Independent,Cooperative,Extraction,None,Low,4418,Co-operative of HIP 102869
HIP 98049,Independent,Democracy,Refinery,Colony,Low,2085171,Workers of Manukan Future
HIP 24046,Federation,Corporate,Agriculture,Extraction,Medium,879510016,Sirius Special Forces
12 Persei,Independent,Cooperative,Refinery,Extraction,Medium,117290,Aseveljet
Sango,Alliance,Corporate,Agriculture,Refinery,High,1559841364,Capsule Corp Interstellar
Gliese 4052,Independent,Communism,Industrial,Military,Medium,6440066,Interstellar Proletarian Vanguard
Lalande 21927,Independent,Corporate,Military,Refinery,Low,3683955,Scallywag Industries
HIP 69518,Alliance,Corporate,Agriculture,Refinery,High,8316734693,Andromeda Corporation
HIP 72479,Alliance,Corporate,Military,Refinery,Low,117086,Applied Science Investments
HIP 17483,Empire,Patronage,Industrial,Extraction,High,33286751,6th Interstellar Corps
LTT 874,Independent,Democracy,Agriculture,Extraction,Medium,3824625899,United German Commanders
HIP 114530,Empire,Patronage,Industrial,Extraction,Medium,10658885,King Gorgoth's Monarchy
HR 1940,Independent,Confederacy,Extraction,Agriculture,Low,78121,Brazilian League of Pilots
Nu-2 Columbae,Empire,Patronage,Extraction,Refinery,Low,102769,The 9th Legion
Zearla,Independent,Corporate,Agriculture,Military,High,6435599008,SSL Interstellar PLC
NLTT 36689,Federation,Corporate,Industrial,Refinery,High,21288184,Terra-EX Astro Corp
Mineer,Independent,Democracy,Refinery,Extraction,Low,72282,Fathers of Nontime
HIP 55262,Independent,Corporate,Military,Colony,Medium,104623,Dark Echo
BD-08 2963,Independent,Theocracy,Extraction,Refinery,Low,68856,Independent Pilot's Guild
HIP 18702,Independent,Cooperative,Extraction,Industrial,Low,26130,HispaPlayers
HIP 14257,Empire,Corporate,Extraction,Industrial,Medium,3904499,Shadows of the Void
HIP 1672,Empire,Patronage,Extraction,Agriculture,Low,61321,The Void Walkers
HIP 21724,Empire,Patronage,Industrial,Extraction,Medium,4846997,HIP 21724 Empire Assembly
HIP 16914,Independent,Cooperative,Industrial,Extraction,Medium,16738188,The Guard of Outer Imperial Colonies
HIP 111486,Empire,Patronage,Industrial,Extraction,Medium,56373352,Theta Octantis Empire Party
HIP 102924,Independent,Cooperative,Extraction,Colony,Low,54527,Knights of the Black
HIP 30846,Independent,Democracy,Industrial,Colony,Medium,3537416,The Northern Culture
HIP 42885,Empire,Corporate,Colony,Extraction,Low,65595,HIP 42885 General Group
Rho Octantis,Independent,Cooperative,Extraction,None,Low,3111,Ecological Preservation & Studies Group
Hyades Sector FB-X d1-41,Independent,Anarchy,Military,Industrial,Anarchy,166670,Explorers of the Anarchy
HIP 43054,Independent,Corporate,Colony,Refinery,Medium,188501,Palluvumbo Creative Incorporated
HIP 55159,Federation,Corporate,High Tech,Industrial,Low,8020,HIP 55159 Gold Life Company
Boelts YK-P c21-5,Independent,Corporate,Refinery,None,Low,50000,Brewer Logistics
Undalibaluf,Independent,Cooperative,Extraction,Refinery,Medium,120360,Canonn
HIP 102081,Federation,Democracy,Agriculture,Extraction,Low,53406,Kunga for Equality
Col 285 Sector MD-S d4-42,Independent,Cooperative,Refinery,Extraction,Low,257,39 b Draconis One
HIP 223,Independent,Cooperative,High Tech,Refinery,Medium,9121289,United Systems Cooperative
HIP 7245,Independent,Cooperative,Extraction,Agriculture,Low,86365,Intergalactic Hitchhiker's Coalition
HIP 110773,Independent,Democracy,Industrial,Refinery,High,24418418,Interplanetary Explorations
V595 Lyrae,Independent,Dictatorship,Industrial,Colony,Medium,2290995,Wolves of Jonai
BD+07 4267,Federation,Corporate,Extraction,Agriculture,Medium,91118,C&S mining corp
HIP 82964,Independent,Confederacy,Extraction,Refinery,High,9298604,The L.O.S.P.
HIP 69699,Independent,Confederacy,Industrial,Extraction,Medium,1952893,Independent Defence Agency
HIP 82068,Federation,Democracy,Refinery,Terraforming,Low,252,HIP 81085 Independents
HIP 116807,Empire,Patronage,Extraction,Refinery,Medium,368884,Black Rebellion Empire Wing
HIP 113598,Empire,Patronage,Terraforming,Extraction,Low,231414,Black Rebellion Empire Wing
HIP 117958,Empire,Corporate,Extraction,Agriculture,Medium,200569,G.O.M. Collective
HR 8031,Empire,Patronage,Terraforming,Military,Medium,26352702,Imperial Grey Wolves
Trella,Federation,Democracy,Extraction,Agriculture,Medium,124013,Calor Republic Party
HIP 57350,Independent,Corporate,Industrial,Extraction,Medium,3862102,The Galactic Archive
HR 5550,Alliance,Corporate,Industrial,Extraction,Medium,15684134,Applied Science Investments
Wolf 529,Federation,Democracy,Industrial,Extraction,Medium,12129115,Wolf 529 Democrats
HIP 17838,Independent,Cooperative,Terraforming,Terraforming,Medium,24900198,Misfit's of Science and Research
CD-40 395,Empire,Corporate,Extraction,Industrial,Medium,7775472,G.O.M. Collective
HIP 104768,Independent,Feudal,Industrial,Colony,Low,8407,The Kuun-Lan
Omicron Gruis,Empire,Patronage,Agriculture,Industrial,High,16202692006,First Imperial Fleet
HIP 107010,Independent,Cooperative,Agriculture,Extraction,High,9701556189,Celestial Light Brigade
HIP 34407,Federation,Democracy,Extraction,Refinery,Low,332667,Green Party of Moora
HIP 40452,Alliance,Democracy,Agriculture,Refinery,High,7897710035,Flat Galaxy Society
Nan Sapwe,Independent,Confederacy,Industrial,None,Medium,7578009,The Wolf Society
HIP 79322,Federation,Corporate,Industrial,Refinery,High,12386295,Kui Xiani Purple Netcoms Network
HIP 41088,Independent,Confederacy,Military,Extraction,Low,116832,United Adnyayar League
b3 Hydrae,Federation,Corporate,Refinery,None,Low,27154,Sun Pin Jet Federal Limited
52 Leonis Minoris,Independent,Corporate,Extraction,None,Low,7201,Expanders Corp
HIP 14415,Independent,Communism,Extraction,Refinery,Medium,104101,HIP 14415 Left Party
HIP 22320,Empire,Patronage,Industrial,Extraction,Medium,6467010,United Imperial Loyalists
HIP 17515,Empire,Patronage,Industrial,Extraction,Medium,40013143,Green Earth Observer Syndicate
HIP 111707,Independent,Communism,Industrial,None,Medium,2145812,Republic Party of HIP 111707
Alpha Volantis,Independent,Feudal,Extraction,Colony,Medium,178091,Monarchy of Alpha Volantis
HIP 77470,Empire,Feudal,Industrial,Extraction,Medium,17116379,Black Hand of Jaaka
HIP 43299,Independent,Corporate,Colony,Extraction,Medium,101516,Palluvumbo Creative Incorporated
BD-01 2518,Empire,Patronage,Industrial,Refinery,High,17639079,Imperial Enforcement Division
HIP 56572,Federation,Democracy,Extraction,Refinery,Low,74299,Democrats of Palliyan
Synuefai EB-R c7-5,Alliance,Dictatorship,Extraction,None,Medium,15000,Turner Research Group
HIP 109310,Independent,Cooperative,Military,Agriculture,Low,199403,Phoenix Flight Explorers Commune
Col 285 Sector LT-H c10-5,Independent,Corporate,Colony,Refinery,Low,3677,Heria Pared Silver Comms Serv
Chankopa,Independent,Democracy,Extraction,High Tech,Low,30236,Democrats of Vorden
Col 285 Sector RE-P c6-5,Independent,Cooperative,Colony,Industrial,Low,294210,Canonn
Kepler-18,Federation,Democracy,Colony,None,Low,67340,Values Party of HIP 95274
Corian Guit,Independent,Confederacy,Terraforming,Industrial,Medium,3287544,Formidine Greybeard Guild
Smojue PZ-R c4-5,Independent,Corporate,Refinery,None,Low,50000,Brewer Logistics
HIP 1687,Independent,Cooperative,Terraforming,None,Low,133887,United Systems Cooperative
HIP 111808,Independent,Cooperative,Extraction,High Tech,Low,31112,HIP 111808 Co-operative
Moraikda,Independent,Corporate,Extraction,None,Low,12003,Pigeon Shipping Lines
Narvert,Independent,Democracy,Extraction,Industrial,Medium,3552979,Errantry Alliance of Narvert
HIP 117870,Independent,Communism,Extraction,Colony,Low,13392,Guardians of Harmony
HIP 108806,Federation,Democracy,Terraforming,Military,Low,6874979,Democrats of HIP 108806
Arietis Sector DB-X c1-5,Independent,Anarchy,Extraction,Refinery,Anarchy,4368,Clan of HIP 7705
Balones,Independent,Anarchy,Industrial,Extraction,Anarchy,4337438,Dangus Investigations
HIP 115610,Independent,Corporate,Military,Refinery,Low,141433,DaVinci Corp.
HIP 8582,Independent,Feudal,Industrial,Colony,Medium,5861587,Marquis du Makula
Vertserus,Independent,Democracy,Refinery,Agriculture,Medium,58322,Muro Independents
HIP 99351,Independent,Confederacy,Colony,None,Low,181986,Workers of Bolos Coalition
Luvalla,Independent,Feudal,High Tech,Refinery,Medium,8276294,Marquis du Ma'a
Svantetit,Independent,Confederacy,Refinery,Extraction,Low,53422,The L.O.S.P.
BD+47 2936,Independent,Cooperative,Extraction,High Tech,Low,50448,The Buurian Protectorate
San Guan,Independent,Dictatorship,Industrial,Extraction,High,16791729,Wolves of Jonai
Chematja,Independent,Cooperative,Extraction,Military,Medium,58307,Canonn
Capura,Independent,Confederacy,Terraforming,Refinery,Medium,161021,The L.O.S.P.
Wolf 1398,Federation,Confederacy,Colony,Extraction,Low,15268,New Wolf 1398 Confederation
Ngarut,Independent,Democracy,High Tech,Extraction,Low,38062,Fatal Shadows
Ullernobo,Independent,Cooperative,Military,Refinery,Low,90887,Ullernobo Co-op
HIP 75389,Independent,Democracy,Military,Terraforming,Low,147697,United Systems Commonwealth
Col 285 Sector AH-K c9-5,Independent,Theocracy,Refinery,Extraction,Low,9433,Order of Omphalos
Jambaraya,Independent,Theocracy,Extraction,Industrial,High,3407265,Circle of TabEwon
Loptaroju,Independent,Theocracy,Industrial,Military,Low,3639533,Circle of TabEwon
Pleiades Sector IH-V c2-5,Independent,Patronage,Military,Industrial,Medium,1205776,Anti Xeno Initiative
HIP 3551,Independent,Cooperative,Extraction,Agriculture,Low,14423,United Systems Cooperative
239 G. Aquarii,Independent,Corporate,Refinery,Terraforming,Medium,157298,Night Wolves Corporation
Lugiu Di,Independent,Democracy,Refinery,Colony,Low,89842,Channel Zero
Iyakajauja,Independent,Cooperative,Refinery,Military,Medium,250671,Amicale des Compagnons de l'Espace
HIP 2725,Independent,Corporate,Agriculture,Industrial,High,746638542,Star Mercenary Arms Corporation
HIP 116213,Independent,Dictatorship,High Tech,Refinery,Medium,6054789,HIP 116213 Liberty Party
HIP 111657,Independent,Feudal,High Tech,Industrial,Low,49697,8th Dragon Squadron
Col 285 Sector XA-E c12-5,Independent,Feudal,Colony,None,Low,62165,The Dukes of Mikunn
HIP 12638,Federation,Corporate,Industrial,Extraction,High,10354765,HIP 14134 Industries
LP 195-25,Independent,Cooperative,Refinery,High Tech,Low,31963,HFR Corp
Macushi,Independent,Cooperative,Terraforming,Industrial,Medium,4143330,Laniakea
Ross 342,Independent,Corporate,Extraction,Industrial,Medium,5751716,Radiant Ruby Control Cooperative
Gera,Federation,Corporate,Agriculture,Terraforming,Medium,1310057699,Gera Interstellar
Ross 210,Alliance,Patronage,Agriculture,Industrial,High,7504299841,Ross 210 Pro-Alliance Party
Contegus,Independent,Cooperative,Refinery,Extraction,Medium,79230,Contegus Collective
HIP 96308,Federation,Confederacy,Agriculture,Industrial,Medium,559570482,Workers of Noanama Confederacy
Lida,Independent,Confederacy,Extraction,Industrial,Medium,2199296,Interstellar Strike Force
Loki Tstae,Independent,Dictatorship,Extraction,None,Low,1376,The Mercs of Mikunn
Kaukhabarri,Independent,Confederacy,Extraction,None,Low,3615,Tombstone Mining Company
HIP 22615,Independent,Feudal,Colony,Industrial,Low,40030,Earls of Hrunda
Tatil,Alliance,Dictatorship,Agriculture,Industrial,High,3808910887,Centurion Hierarchy
109 Herculis,Independent,Democracy,Extraction,Refinery,Medium,90873,Fatal Shadows
