name,bodies.name,bodies.subType,bodies.spectralClass
HIP 113598,HIP 113598,G (White-Yellow) Star,G4
HIP 117958,HIP 117958 A,G (White-Yellow) Star,G1
HR 8031,HR 8031 A,F (White) Star,F2
Trella,Trella,G (White-Yellow) Star,G6
HIP 57350,HIP 57350 A,G (White-Yellow) Star,G5
HR 5550,HR 5550,F (White) Star,F9
Wolf 529,Wolf 529 A,G (White-Yellow) Star,G5
HIP 17838,HIP 17838,F (White) Star,F3
CD-40 395,CD-40 395 A,F (White) Star,F5
HIP 104768,HIP 104768,G (White-Yellow) Star,G6
Omicron Gruis,Omicron Gruis A,F (White) Star,F4
HIP 107010,HIP 107010 A,F (White) Star,F8
HIP 34407,HIP 34407 A,G (White-Yellow) Star,G0
HIP 40452,HIP 40452,G (White-Yellow) Star,G5
Nan Sapwe,Nan Sapwe A,G (White-Yellow) Star,G6
HIP 79322,HIP 79322 A,F (White) Star,F6
HIP 41088,HIP 41088 A,G (White-Yellow) Star,G5
b3 Hydrae,b3 Hydrae A,F (White) Star,F6
52 Leonis Minoris,52 Leonis Minoris A,F (White) Star,F8
HIP 14415,HIP 14415 A,F (White) Star,F7
HIP 22320,HIP 22320,G (White-Yellow) Star,G8
HIP 17515,HIP 17515 A,G (White-Yellow) Star,G0
HIP 111707,HIP 111707,F (White) Star,F7
Alpha Volantis,Alpha Volantis A,A (Blue-White) Star,A2
HIP 77470,HIP 77470,F (White) Star,F5
HIP 43299,HIP 43299,F (White) Star,F7
BD-01 2518,BD-01 2518 A,G (White-Yellow) Star,G8
HIP 56572,HIP 56572,G (White-Yellow) Star,G8
Synuefai EB-R c7-5,Synuefai EB-R c7-5,G (White-Yellow) Star,G3
HIP 109310,HIP 109310 A,G (White-Yellow) Star,G0
Col 285 Sector LT-H c10-5,Col 285 Sector LT-H c10-5 A,K (Yellow-Orange) Star,K6
Chankopa,Chankopa,K (Yellow-Orange) Star,K0
Col 285 Sector RE-P c6-5,Col 285 Sector RE-P c6-5 A,K (Yellow-Orange) Star,K8
Kepler-18,Kepler-18,G (White-Yellow) Star,G5
Corian Guit,Corian Guit A,K (Yellow-Orange) Star,K9
Smojue PZ-R c4-5,Smojue PZ-R c4-5 A,K (Yellow-Orange) Star,K9
HIP 1687,HIP 1687,K (Yellow-Orange) Star,K3
HIP 111808,HIP 111808 A,K (Yellow-Orange) Star,K5
Moraikda,Moraikda,K (Yellow-Orange) Star,K2
Narvert,Narvert,K (Yellow-Orange) Star,K1
HIP 117870,HIP 117870,G (White-Yellow) Star,G5
HIP 108806,HIP 108806 A,G (White-Yellow) Star,G0
Arietis Sector DB-X c1-5,Arietis Sector DB-X c1-5,K (Yellow-Orange) Star,K2
Balones,Balones A,K (Yellow-Orange) Star,K2
HIP 115610,HIP 115610,K (Yellow-Orange) Star,K2
HIP 8582,HIP 8582,G (White-Yellow) Star,G0
Vertserus,Vertserus,K (Yellow-Orange) Star,K2
HIP 99351,HIP 99351 A,G (White-Yellow) Star,G5
Luvalla,Luvalla,K (Yellow-Orange) Star,K9
Svantetit,Svantetit A,K (Yellow-Orange) Star,K9
BD+47 2936,BD+47 2936,K (Yellow-Orange) Star,K5
San Guan,San Guan A,K (Yellow-Orange) Star,K9
Chematja,Chematja,G (White-Yellow) Star,G8
Capura,Capura A,K (Yellow-Orange) Star,K8
Wolf 1398,Wolf 1398,K (Yellow-Orange) Star,K4
Ngarut,Ngarut,M (Red dwarf) Star,M1
Ullernobo,Ullernobo,K (Yellow-Orange) Star,K4
HIP 75389,HIP 75389,G (White-Yellow) Star,G9
Col 285 Sector AH-K c9-5,Col 285 Sector AH-K c9-5 A,G (White-Yellow) Star,G8
Jambaraya,Jambaraya A,K (Yellow-Orange) Star,K5
Loptaroju,Loptaroju,K (Yellow-Orange) Star,K3
Pleiades Sector IH-V c2-5,Pleiades Sector IH-V c2-5,K (Yellow-Orange) Star,K4
HIP 3551,HIP 3551,K (Yellow-Orange) Star,K3
239 G. Aquarii,239 G. Aquarii A,K (Yellow-Orange giant) Star,K2
Lugiu Di,Lugiu Di A,K (Yellow-Orange) Star,K3
Iyakajauja,Iyakajauja,K (Yellow-Orange) Star,K8
HIP 2725,HIP 2725,K (Yellow-Orange) Star,K3
HIP 116213,HIP 116213,K (Yellow-Orange) Star,K7
HIP 111657,HIP 111657,K (Yellow-Orange) Star,K6
Col 285 Sector XA-E c12-5,Col 285 Sector XA-E c12-5,M (Red dwarf) Star,M0
HIP 12638,HIP 12638,G (White-Yellow) Star,G2
LP 195-25,LP 195-25,K (Yellow-Orange) Star,K4
Macushi,Macushi,K (Yellow-Orange) Star,K0
Ross 342,Ross 342,K (Yellow-Orange) Star,K4
Gera,Gera,G (White-Yellow) Star,G5
Ross 210,Ross 210 A,K (Yellow-Orange) Star,K4
Contegus,Contegus A,G (White-Yellow) Star,G5
HIP 96308,HIP 96308,G (White-Yellow) Star,G5
Lida,Lida A,K (Yellow-Orange) Star,K2
Loki Tstae,Loki Tstae,K (Yellow-Orange) Star,K4
Kaukhabarri,Kaukhabarri,T Tauri Star,TTS1
HIP 22615,HIP 22615,G (White-Yellow) Star,G5
Tatil,Tatil,K (Yellow-Orange) Star,K4
109 Herculis,109 Herculis A,K (Yellow-Orange giant) Star,K2
Col 285 Sector RP-E c12-5,Col 285 Sector RP-E c12-5 A,G (White-Yellow) Star,G3
HIP 64861,HIP 64861,K (Yellow-Orange) Star,K2
HIP 80243,HIP 80243,G (White-Yellow) Star,G5
BD+47 2391,BD+47 2391 A,K (Yellow-Orange) Star,K4
HIP 86882,HIP 86882 A,K (Yellow-Orange) Star,K0
HIP 53257,HIP 53257,K (Yellow-Orange giant) Star,K1
HIP 69400,HIP 69400 A,K (Yellow-Orange) Star,K0
Mandjindja,Mandjindja A,K (Yellow-Orange) Star,K9
Juduni,Juduni A,K (Yellow-Orange) Star,K2
Ceginus,Ceginus,G (White-Yellow) Star,G7
Mirdii,Mirdii A,K (Yellow-Orange) Star,K7
Hesquix,Hesquix,T Tauri Star,TTS3
HIP 117399,HIP 117399 A,K (Yellow-Orange) Star,K2
Wolf 121,Wolf 121,K (Yellow-Orange) Star,K3
29 Ceti,29 Ceti,G (White-Yellow) Star,G8
HIP 1866,HIP 1866 A,K (Yellow-Orange) Star,K6
HIP 114135,HIP 114135,K (Yellow-Orange) Star,K2
LTT 779,Bleia Eohn BE-J a36-2,Y (Brown dwarf) Star,Y5
LTT 779,LTT 779 A,K (Yellow-Orange) Star,K3
LTT 9542,LTT 9542 A,K (Yellow-Orange) Star,K5
Gliese 851.3,Gliese 851.3,G (White-Yellow) Star,G9
HIP 100685,HIP 100685,K (Yellow-Orange) Star,K3
HIP 13644,HIP 13644,K (Yellow-Orange) Star,K6
LTT 9665,LTT 9665 A,K (Yellow-Orange) Star,K5
LHS 3598,LHS 3598,K (Yellow-Orange) Star,K4
LTT 8066,LTT 8066,K (Yellow-Orange) Star,K2
Karamayayak,Karamayayak,K (Yellow-Orange) Star,K5
Gliese 3299,Gliese 3299 A,K (Yellow-Orange) Star,K5
BD+43 866,BD+43 866,K (Yellow-Orange) Star,K0
BD+65 210,BD+65 210,K (Yellow-Orange) Star,K3
BD+44 4389,BD+44 4389 A,K (Yellow-Orange) Star,K3
LTT 15461,LTT 15461 A,K (Yellow-Orange) Star,K2
Nyaliep,Nyaliep A,K (Yellow-Orange) Star,K7
Lyncis Sector EL-Y c5,Lyncis Sector EL-Y c5,K (Yellow-Orange) Star,K3
Taka,Taka,G (White-Yellow) Star,G5
AC +67 1894,AC +67 1894,K (Yellow-Orange) Star,K6
Perendi,Perendi,K (Yellow-Orange) Star,K4
Anapos,Anapos,K (Yellow-Orange) Star,K3
LHS 6326,LHS 6326,K (Yellow-Orange) Star,K6
Chireni,Chireni,K (Yellow-Orange) Star,K6
HIP 43841,HIP 43841,K (Yellow-Orange) Star,K0
MCC 741,MCC 741,K (Yellow-Orange) Star,K7
Tsim Binavi,Tsim Binavi A,K (Yellow-Orange) Star,K7
Wolf 667,Wolf 667,K (Yellow-Orange) Star,K5
Ross 917,Ross 917 A,K (Yellow-Orange) Star,K7
HIP 75446,HIP 75446,K (Yellow-Orange) Star,K0
HIP 79117,HIP 79117,K (Yellow-Orange) Star,K3
Apachi,Apachi,M (Red dwarf) Star,M1
HIP 63317,HIP 63317,G (White-Yellow) Star,G5
HIP 69999,HIP 69999,K (Yellow-Orange) Star,K4
Col 285 Sector VO-I c9-5,Col 285 Sector VO-I c9-5 A,K (Yellow-Orange) Star,K8
Contie,Contie A,G (White-Yellow) Star,G5
Nareldi,Nareldi A,K (Yellow-Orange) Star,K0
Rho Gruis,Rho Gruis A,K (Yellow-Orange giant) Star,K0
HIP 9216,HIP 9216 A,G (White-Yellow) Star,G6
Enaworka,Enaworka A,K (Yellow-Orange) Star,K4
HIP 15374,HIP 15374,M (Red dwarf) Star,M0
Azha,Azha,K (Yellow-Orange giant) Star,K0
HIP 8830,HIP 8830 A,K (Yellow-Orange) Star,K1
CD-26 369,CD-26 369,K (Yellow-Orange) Star,K0
HIP 114044,HIP 114044 A,K (Yellow-Orange) Star,K6
HIP 110692,HIP 110692,K (Yellow-Orange) Star,K5
Heptis,Heptis,K (Yellow-Orange) Star,K0
HIP 19757,HIP 19757 A,K (Yellow-Orange) Star,K7
HERZ 10688,HERZ 10688,K (Yellow-Orange) Star,K4
LTT 9145,LTT 9145 A,K (Yellow-Orange giant) Star,K0
LTT 8648,LTT 8648,K (Yellow-Orange) Star,K3
HIP 99606,HIP 99606,G (White-Yellow) Star,G5
HIP 19786,HIP 19786 A,G (White-Yellow) Star,G1
Wolf 1301,Wolf 1301,G (White-Yellow) Star,G7
BZ Ceti,BZ Ceti,K (Yellow-Orange) Star,K2
LHS 1387,LHS 1387,G (White-Yellow) Star,G8
Aornum,Aornum A,K (Yellow-Orange) Star,K1
HIP 93639,HIP 93639,K (Yellow-Orange) Star,K2
HIP 95110,HIP 95110,G (White-Yellow) Star,G2
Baruga,Baruga A,K (Yellow-Orange) Star,K3
BD+20 1018,BD+20 1018,G (White-Yellow) Star,G4
LHS 5116,LHS 5116 A,K (Yellow-Orange) Star,K2
V2689 Orionis,V2689 Orionis,M (Red dwarf) Star,M0
LHS 3885,LHS 3885,K (Yellow-Orange) Star,K7
Algreit,Algreit,K (Yellow-Orange) Star,K8
Kaus Borealis,Kaus Borealis A,K (Yellow-Orange giant) Star,K0
LTT 7251,LTT 7251,K (Yellow-Orange) Star,K0
Dong Ku,Dong Ku A,K (Yellow-Orange) Star,K4
HIP 32728,HIP 32728,G (White-Yellow) Star,G0
HIP 33282,HIP 33282,K (Yellow-Orange) Star,K6
BD+34 1740,BD+34 1740 A,K (Yellow-Orange) Star,K7
Phanes,Phanes,K (Yellow-Orange) Star,K0
Bolg,Bolg,K (Yellow-Orange) Star,K5
Eulexia,Eulexia,K (Yellow-Orange) Star,K8
Ross 529,Ross 529,K (Yellow-Orange) Star,K5
LTT 6710,LTT 6710 A,K (Yellow-Orange) Star,K4
HIP 44115,HIP 44115 A,K (Yellow-Orange) Star,K5
LHS 2948,LHS 2948,K (Yellow-Orange) Star,K6
Wolf 561,Wolf 561,K (Yellow-Orange) Star,K4
HIP 78883,HIP 78883,K (Yellow-Orange) Star,K3
HIP 44727,HIP 44727,G (White-Yellow) Star,G0
HIP 54614,HIP 54614 A,K (Yellow-Orange) Star,K0
BD+31 2373,BD+31 2373,K (Yellow-Orange) Star,K5
HIP 69028,HIP 69028,K (Yellow-Orange) Star,K4
Col 285 Sector FS-I c10-5,Col 285 Sector FS-I c10-5 A,K (Yellow-Orange) Star,K9
Gluscabi,Gluscabi A,T Tauri Star,TTS2
Karm,Karm A,K (Yellow-Orange) Star,K5
Kumbardin,Kumbardin,T Tauri Star,TTS7
Uodigi,Uodigi,M (Red dwarf) Star,M0
Bhote,Bhote,T Tauri Star,TTS3
Boren,Boren,K (Yellow-Orange) Star,K2
Nyalayan,Pyramoe YD-J b29-17,K (Yellow-Orange) Star,K9
Nyalayan,Nyalayan A,K (Yellow-Orange) Star,K8
HIP 3322,HIP 3322,K (Yellow-Orange) Star,K4
HIP 115275,HIP 115275 A,K (Yellow-Orange) Star,K0
Frenis,Frenis,K (Yellow-Orange) Star,K8
HIP 12605,HIP 12605 A,K (Yellow-Orange) Star,K3
HIP 110954,HIP 110954 A,K (Yellow-Orange) Star,K2
HIP 16933,HIP 16933 A,K (Yellow-Orange) Star,K1
HIP 15286,HIP 15286 A,K (Yellow-Orange) Star,K3
Mictlan,Mictlan,K (Yellow-Orange) Star,K6
HIP 107385,HIP 107385,K (Yellow-Orange) Star,K3
HIP 99397,HIP 99397,K (Yellow-Orange) Star,K5
HIP 24681,HIP 24681,G (White-Yellow) Star,G0
Eurybia,Eurybia,K (Yellow-Orange) Star,K3
Yinjian,Yinjian,K (Yellow-Orange) Star,K6
LTT 7857,LTT 7857,K (Yellow-Orange) Star,K3
HIP 91404,HIP 91404 A,K (Yellow-Orange) Star,K4
BD+18 1160,BD+18 1160 A,K (Yellow-Orange) Star,K5
V848 Monocerotis,V848 Monocerotis,K (Yellow-Orange giant) Star,K2
Argestes,Argestes A,K (Yellow-Orange) Star,K2
Corbenic,Corbenic,K (Yellow-Orange) Star,K3
Jiuyou,Jiuyou,K (Yellow-Orange) Star,K3
CD-32 11850,CD-32 11850 A,K (Yellow-Orange) Star,K5
Gliese 2126,Gliese 2126 A,M (Red dwarf) Star,M0
HIP 39515,HIP 39515,G (White-Yellow) Star,G5
Vandar,Vandar,G (White-Yellow) Star,G9
Ross 623,Ross 623,K (Yellow-Orange) Star,K7
Antevorta,Antevorta A,K (Yellow-Orange) Star,K7
Perun,Perun,K (Yellow-Orange) Star,K5
LTT 5964,LTT 5964,K (Yellow-Orange) Star,K6
Gliese 9539,Gliese 9539,K (Yellow-Orange giant) Star,K0
HIP 80870,HIP 80870 A,K (Yellow-Orange giant) Star,K4
HIP 44176,HIP 44176 A,K (Yellow-Orange) Star,K3
MCC 572,MCC 572,K (Yellow-Orange) Star,K7
Nevermore,Nevermore A,K (Yellow-Orange) Star,K0
HIP 70756,HIP 70756 A,K (Yellow-Orange) Star,K4
HIP 78704,HIP 78704 A,G (White-Yellow) Star,G5
Egunnlod,Egunnlod A,K (Yellow-Orange) Star,K1
Gliese 9312,Gliese 9312 A,M (Red dwarf) Star,M0
XZ Leonis Minoris,XZ Leonis Minoris A,G (White-Yellow) Star,G8
HIP 65632,HIP 65632,K (Yellow-Orange) Star,K7
Col 285 Sector MT-G c11-5,Col 285 Sector MT-G c11-5,G (White-Yellow) Star,G8
HIP 61816,HIP 61816,K (Yellow-Orange) Star,K3
HIP 64706,HIP 64706 A,K (Yellow-Orange) Star,K0
Kilique,Kilique,M (Red dwarf) Star,M0
Mechehooit,Mechehooit,K (Yellow-Orange) Star,K5
Jeitsegezi,Jeitsegezi A,K (Yellow-Orange) Star,K9
Quile,Quile,G (White-Yellow) Star,G4
HIP 13725,HIP 13725,K (Yellow-Orange) Star,K0
Igal,Igal A,K (Yellow-Orange) Star,K6
Alpha Tucanae,Alpha Tucanae A,K (Yellow-Orange giant) Star,K3
Rio Paha,Rio Paha,T Tauri Star,TTS3
Apuruk,Apuruk,K (Yellow-Orange) Star,K3
Fawaol,Fawaol,K (Yellow-Orange giant) Star,K1
HIP 114503,HIP 114503 A,K (Yellow-Orange) Star,K5
Poseno,Poseno,K (Yellow-Orange) Star,K7
Mo Dadiweu,Mo Dadiweu,K (Yellow-Orange) Star,K3
Gliese 3318,Gliese 3318,M (Red dwarf) Star,M0
HIP 20737,HIP 20737,G (White-Yellow) Star,G9
Thanatos,Thanatos,K (Yellow-Orange) Star,K1
Sowiio,Sowiio A,K (Yellow-Orange) Star,K6
HIP 102128,HIP 102128,G (White-Yellow) Star,G1
Col 285 Sector BB-E c12-5,Col 285 Sector BB-E c12-5,K (Yellow-Orange) Star,K5
Hyades Sector JM-V c2-5,Hyades Sector JM-V c2-5,K (Yellow-Orange) Star,K8
Namayu,Namayu A,K (Yellow-Orange) Star,K5
Venux,Venux,K (Yellow-Orange) Star,K3
LTT 2379,LTT 2379,K (Yellow-Orange) Star,K7
Yota,Yota,M (Red dwarf) Star,M0
HR 7221,HR 7221,K (Yellow-Orange giant) Star,K0
Bajoji,Bajoji A,K (Yellow-Orange) Star,K9
Scorpii Sector KM-W c1-5,Scorpii Sector KM-W c1-5 A,K (Yellow-Orange) Star,K9
Juro,Juro,G (White-Yellow) Star,G9
Na Chac Og,Na Chac Og A,G (White-Yellow) Star,G7
DR Crucis,DR Crucis,K (Yellow-Orange) Star,K4
HIP 81469,HIP 81469 A,K (Yellow-Orange) Star,K0
HIP 39821,HIP 39821 A,K (Yellow-Orange) Star,K8
Dahambwe,Dahambwe,K (Yellow-Orange) Star,K5
LTT 3290,LTT 3290,K (Yellow-Orange) Star,K2
Solati,Solati,K (Yellow-Orange) Star,K3
CD-47 8991,CD-47 8991,G (White-Yellow) Star,G5
Khwathis,Khwathis A,K (Yellow-Orange) Star,K2
LTT 12874,LTT 12874,K (Yellow-Orange) Star,K0
NLTT 34960,NLTT 34960,K (Yellow-Orange) Star,K6
Gandagetu,Gandagetu A,K (Yellow-Orange) Star,K6
"T'ao Warla","T'ao Warla",K (Yellow-Orange) Star,K8
NLTT 26167,NLTT 26167,K (Yellow-Orange) Star,K5
HIP 58083,HIP 58083 A,K (Yellow-Orange) Star,K2
Ross 931,Ross 931 A,K (Yellow-Orange) Star,K2
HIP 65963,HIP 65963 A,G (White-Yellow) Star,G6
Hydrae Sector JC-V c2-5,Hydrae Sector JC-V c2-5,G (White-Yellow) Star,G6
HIP 60501,HIP 60501 A,K (Yellow-Orange) Star,K5
Kriva,Kriva,K (Yellow-Orange) Star,K6
Kwiambe,Kwiambe,K (Yellow-Orange) Star,K8
Wonga,Wonga A,K (Yellow-Orange) Star,K2
Tucanae Sector DQ-Y c5,Tucanae Sector DQ-Y c5 A,K (Yellow-Orange) Star,K8
Ngones,Ngones,K (Yellow-Orange) Star,K0
Kao Guojiu,Kao Guojiu,K (Yellow-Orange) Star,K4
h Eridani,h Eridani A,K (Yellow-Orange giant) Star,K1
Pthaa,Pthaa A,K (Yellow-Orange) Star,K7
Toxandh,Toxandh,K (Yellow-Orange) Star,K2
Djalkyries,Djalkyries,K (Yellow-Orange) Star,K1
Golle,Golle,K (Yellow-Orange) Star,K7
HIP 22286,HIP 22286,K (Yellow-Orange) Star,K3
Nambal,Nambal A,K (Yellow-Orange) Star,K2
Gamma Horologii,Gamma Horologii,G (White-Yellow) Star,G8
HIP 10363,HIP 10363,K (Yellow-Orange) Star,K0
Dakak,Dakak,K (Yellow-Orange) Star,K0
Namo,Namo,K (Yellow-Orange) Star,K1
HR 1475,HR 1475 A,K (Yellow-Orange giant) Star,K1
Khepehueno,Khepehueno,K (Yellow-Orange) Star,K0
Ix Chuntin,Ix Chuntin,K (Yellow-Orange) Star,K9
Beta Volantis,Beta Volantis A,K (Yellow-Orange giant) Star,K2
Hun Dun,Hun Dun A,K (Yellow-Orange) Star,K2
HIP 85297,HIP 85297 A,K (Yellow-Orange) Star,K5
Yu Kuo Wang,Yu Kuo Wang A,M (Red dwarf) Star,M1
Arouca,Arouca,G (White-Yellow) Star,G9
HIP 53719,HIP 53719 A,K (Yellow-Orange giant) Star,K1
HIP 64934,HIP 64934 A,K (Yellow-Orange) Star,K2
LTT 3690,LTT 3690 A,K (Yellow-Orange) Star,K3
HIP 61907,HIP 61907,K (Yellow-Orange) Star,K1
Parakan,Parakan A,K (Yellow-Orange) Star,K6
HIP 49161,HIP 49161,K (Yellow-Orange) Star,K0
Xi Hydrae,Xi Hydrae,G (White-Yellow) Star,G7
Dijkstra,Dijkstra,K (Yellow-Orange) Star,K3
HIP 64443,HIP 64443,K (Yellow-Orange) Star,K1
Col 285 Sector UO-P c6-5,Col 285 Sector UO-P c6-5,K (Yellow-Orange) Star,K8
Phra Imish,Phra Imish A,K (Yellow-Orange) Star,K7
Quaaybuwan,Quaaybuwan,M (Red dwarf) Star,M0
Ogdoad,Ogdoad,K (Yellow-Orange) Star,K2
Atunung,Atunung,K (Yellow-Orange) Star,K6
Bijemayah,Bijemayah,K (Yellow-Orange) Star,K0
Sandjin,Sandjin,K (Yellow-Orange) Star,K7
HR 1364,HR 1364,K (Yellow-Orange giant) Star,K2
Goman,Goman,K (Yellow-Orange) Star,K3
Tubalith,Tubalith A,M (Red dwarf) Star,M0
Faros,Faros,K (Yellow-Orange) Star,K9
Guie,Guie,K (Yellow-Orange) Star,K3
Wasenateno,Wasenateno,G (White-Yellow) Star,G6
Gou Jingati,Gou Jingati A,T Tauri Star,TTS3
Muruidooges,Muruidooges A,K (Yellow-Orange) Star,K6
Arakapajo,Arakapajo A,M (Red dwarf) Star,M1
Kausates,Kausates A,K (Yellow-Orange) Star,K7
Khep No Zi,Khep No Zi A,K (Yellow-Orange) Star,K4
Tau Puppis,Tau Puppis A,K (Yellow-Orange giant) Star,K1
HIP 33392,HIP 33392,K (Yellow-Orange) Star,K5
Balaikda,Balaikda,K (Yellow-Orange) Star,K3
Ngurii,Ngurii,K (Yellow-Orange) Star,K6
Hosus,Hosus A,G (White-Yellow) Star,G5
CD-49 3617,CD-49 3617,K (Yellow-Orange) Star,K6
Col 285 Sector NS-J c9-5,Col 285 Sector NS-J c9-5,K (Yellow-Orange) Star,K5
Turni,Turni,K (Yellow-Orange) Star,K3
Chehogg,Chehogg A,K (Yellow-Orange) Star,K8
HIP 60662,HIP 60662,K (Yellow-Orange) Star,K4
HIP 54690,HIP 54690 A,K (Yellow-Orange) Star,K5
Synuefe KY-H c26-5,Synuefe KY-H c26-5,K (Yellow-Orange) Star,K9
Hernobo,Hernobo A,G (White-Yellow) Star,G6
Huan Nu,Huan Nu A,G (White-Yellow) Star,G8
Ipison,Ipison,T Tauri Star,TTS4
Jellyfish Sector FB-X c1-5,Jellyfish Sector FB-X c1-5,K (Yellow-Orange) Star,K6
"Thor's Helmet Sector FB-X c1-5","Thor's Helmet Sector FB-X c1-5",T Tauri Star,TTS3
Col 285 Sector IX-T d3-43,Col 285 Sector IX-T d3-43 A,G (White-Yellow) Star,G3
HR 687,HR 687 A,F (White) Star,F0
HIP 7370,HIP 7370 A,G (White-Yellow) Star,G2
STF 2841,STF 2841 A,F (White) Star,F7
HR 7907,HR 7907,F (White) Star,F8
HIP 90621,HIP 90621 A,G (White-Yellow) Star,G1
HIP 76398,HIP 76398 A,G (White-Yellow) Star,G5
86 Aquarii,86 Aquarii,G (White-Yellow) Star,G6
HIP 111616,HIP 111616,F (White) Star,F8
HIP 13750,HIP 13750 A,F (White) Star,F5
18 Ceti,18 Ceti A,G (White-Yellow) Star,G0
Petra,Petra A,F (White) Star,F5
LTT 11648,LTT 11648,F (White) Star,F5
Wolf 573,Wolf 573,G (White-Yellow) Star,G5
Glauss,Glauss,G (White-Yellow) Star,G4
HIP 60831,HIP 60831 A,F (White) Star,F9
HIP 69230,HIP 69230 A,G (White-Yellow) Star,G2
HIP 12581,HIP 12581,G (White-Yellow) Star,G5
HIP 6905,HIP 6905,F (White) Star,F8
HIP 118210,HIP 118210,F (White) Star,F5
HIP 18870,HIP 18870,F (White) Star,F7
HIP 114880,HIP 114880 A,F (White) Star,F6
Gliese 9735,Gliese 9735,G (White-Yellow) Star,G5
HIP 27980,HIP 27980 A,G (White-Yellow) Star,G3
Svara,Svara A,G (White-Yellow) Star,G8
LTT 9663,LTT 9663 A,G (White-Yellow) Star,G5
CD-58 7880,CD-58 7880 A,G (White-Yellow) Star,G8
HIP 34426,HIP 34426 A,F (White) Star,F7
BD-05 2489,BD-05 2489,G (White-Yellow) Star,G1
Nu-2 Lupi,Nu-2 Lupi A,G (White-Yellow) Star,G2
NLTT 27413,NLTT 27413 A,G (White-Yellow) Star,G5
63 chi Leonis,63 chi Leonis A,F (White) Star,F2
HIP 75762,HIP 75762,K (Yellow-Orange) Star,K0
HIP 63235,HIP 63235 A,F (White) Star,F3
HIP 19213,HIP 19213 A,F (White) Star,F3
HIP 22387,HIP 22387,F (White) Star,F6
HIP 113293,HIP 113293,G (White-Yellow) Star,G5
CD-74 632,CD-74 632 A,F (White) Star,F8
HIP 43358,HIP 43358,F (White) Star,F7
HIP 50661,HIP 50661,F (White) Star,F6
HIP 56791,HIP 56791,G (White-Yellow) Star,G6
Rudrusa,Rudrusa,F (White) Star,F7
Sun Wen Ho,Sun Wen Ho,F (White) Star,F9
HIP 105947,HIP 105947 A,F (White) Star,F8
HIP 108228,HIP 108228 A,G (White-Yellow) Star,G5
12 Gamma-1 Delphini,12 Gamma-1 Delphini,A (Blue-White super giant) Star,A2
BD+57 2595,BD+57 2595,F (White) Star,F5
HR 7294,HR 7294,G (White-Yellow) Star,G2
HIP 48691,HIP 48691 A,G (White-Yellow) Star,G5
HIP 83664,HIP 83664 A,G (White-Yellow) Star,G0
HR 5492,HR 5492,F (White) Star,F3
HIP 12764,HIP 12764 A,F (White) Star,F7
HIP 118115,HIP 118115 A,G (White-Yellow) Star,G3
HIP 20441,HIP 20441 A,G (White-Yellow) Star,G4
47 Arietis,47 Arietis,F (White) Star,F5
Viracocha,Viracocha,G (White-Yellow) Star,G3
HIP 25880,HIP 25880,G (White-Yellow) Star,G1
KUI 11,KUI 11,G (White-Yellow) Star,G1
Chi Herculis,Chi Herculis,G (White-Yellow) Star,G0
Aeternitas,Aeternitas,F (White) Star,F5
HIP 45389,HIP 45389 A,F (White) Star,F1
HIP 60588,HIP 60588 A,G (White-Yellow) Star,G0
HIP 73449,HIP 73449 A,G (White-Yellow) Star,G0
HIP 61854,HIP 61854 A,G (White-Yellow) Star,G0
HR 5347,HR 5347 A,F (White) Star,F2
HIP 7167,HIP 7167,G (White-Yellow) Star,G2
Gliese 9143,Gliese 9143,F (White) Star,F1
Cemiess,Cemiess,G (White-Yellow) Star,G1
HIP 105408,HIP 105408,G (White-Yellow) Star,G2
LTT 9810,LTT 9810 A,G (White-Yellow) Star,G5
HIP 96160,HIP 96160 A,G (White-Yellow) Star,G5
Gliese 2067,Gliese 2067,G (White-Yellow) Star,G0
HIP 79636,HIP 79636 A,G (White-Yellow) Star,G2
HIP 82738,HIP 82738 A,F (White) Star,F8
HIP 43766,HIP 43766 A,G (White-Yellow) Star,G1
HIP 40977,HIP 40977 A,S-type Star,S0
HIP 77534,HIP 77534,F (White) Star,F3
HIP 2881,HIP 2881 A,G (White-Yellow) Star,G5
HIP 22506,HIP 22506,G (White-Yellow) Star,G9
Bes,Bes A,F (White) Star,F3
HIP 115151,HIP 115151,G (White-Yellow) Star,G0
LTT 2601,LTT 2601 A,G (White-Yellow) Star,G7
Ankou,Ankou A,G (White-Yellow) Star,G3
HIP 81353,HIP 81353,F (White) Star,F8
CD-58 4207,CD-58 4207,G (White-Yellow) Star,G6
HIP 66754,HIP 66754 A,G (White-Yellow) Star,G3
Gliese 3680,Gliese 3680,G (White-Yellow) Star,G2
"Hamlet's Harmony","Hamlet's Harmony",F (White) Star,F3
HIP 95938,HIP 95938,F (White) Star,F5
Col 285 Sector MD-S d4-45,Col 285 Sector MD-S d4-45,A (Blue-White) Star,A8
HIP 6439,HIP 6439,F (White) Star,F5
Wolf 1148,Wolf 1148 A,G (White-Yellow) Star,G0
Mu Aquarii,Mu Aquarii A,A (Blue-White super giant) Star,A3
Altais,Altais,G (White-Yellow) Star,G9
HR 6594,HR 6594,F (White) Star,F3
HR 6999,HR 6999 A,F (White) Star,F8
Gliese 577,Gliese 577,G (White-Yellow) Star,G5
69 e Herculis,69 e Herculis,A (Blue-White) Star,A1
HIP 116528,HIP 116528,F (White) Star,F6
HIP 14194,HIP 14194,F (White) Star,F8
